timestamp,sn,text,EST
2019-05-23 03:24:45,nerdgirl67,"RT @tyleroakley: tonight on #AmazingRace, queer contestants were sent to locations where being queer is a crime. being there with protectio…",2019-05-22 22:24:45
2019-05-23 03:23:10,randyknup,"The #AmazingRace #TAR31 Eps 5&amp;6 #RHAP Draft Update:
@HaymakerHattie @thedanheaton  @AMikeBloomType https://t.co/9cHe4rEHzt",2019-05-22 22:23:10
2019-05-23 03:22:58,randyknup,"The #AmazingRace #TAR31 Ep4 Draft P Update:
@randyknup @ShannonGaitz @WillFromAmerica @sammore26 https://t.co/6ixUjDwVUB",2019-05-22 22:22:58
2019-05-23 03:22:47,randyknup,"The #AmazingRace #TAR31 Eps 5&amp;6 Draft O Update:
@NMReitan @gman2691 @joelwheels @coralfanatic @tacotako @deannw… https://t.co/0S8sN0EW07",2019-05-22 22:22:47
2019-05-23 03:22:37,randyknup,"The #AmazingRace #TAR31 Eps 5&amp;6 Draft N Update:
@massonmissel15 @timheab @randyknup @itsteriyaki94 @WadeJamesX… https://t.co/dRfe0szWV5",2019-05-22 22:22:37
2019-05-23 03:22:28,majingir,"Team Fun comes in 1st and Phil freestyles lol.
#AmazingRace",2019-05-22 22:22:28
2019-05-23 03:22:26,randyknup,"The #AmazingRace #TAR31 Eps 5&amp;6 Draft M Update:
@JColloton @randyknup @bbredwood13 @matsingmalcolm @kallenoh… https://t.co/6NPmRzJSYI",2019-05-22 22:22:26
2019-05-23 03:22:22,JwatksJackie,I don't want to hear @britney_haynes  complain at all about @janellepierzina and that roadblock because Janie CARRI… https://t.co/PVjMOe7oB5,2019-05-22 22:22:22
2019-05-23 03:22:18,randyknup,"The #AmazingRace #TAR31 Eps 5&amp;6 Draft L Update:
@RealityRobbed @BrennaSteward @cbbcharlie17 @Rhager1983 @ajfraysure… https://t.co/kjYxs9PQn7",2019-05-22 22:22:18
2019-05-23 03:22:09,randyknup,"The #AmazingRace #TAR31 Eps 5&amp;6 Draft K Update:
@TVGal_Chele @floressa94 @ttrenae @wakinga_rus @tmzerep27… https://t.co/6aylp8TJ7k",2019-05-22 22:22:09
2019-05-23 03:22:02,randyknup,"The #AmazingRace #TAR31 Eps 5&amp;6 Draft J Update:
@randyknup @Empoleon95 @ShaylaDanenberg @BrandonJFinney… https://t.co/1LSBpHylXi",2019-05-22 22:22:02
2019-05-23 03:21:59,sam_barton123,"RT @tyleroakley: tonight on #AmazingRace, queer contestants were sent to locations where being queer is a crime. being there with protectio…",2019-05-22 22:21:59
2019-05-23 03:21:53,randyknup,"The #AmazingRace #TAR31 Eps 5&amp;6 Draft I Update:
@LiveLumberLogan @rxgonzaless @randyknup @mkfroboi @KasenMSanders… https://t.co/8ZL0nKxJT3",2019-05-22 22:21:53
2019-05-23 03:21:46,randyknup,"The #AmazingRace #TAR31 Eps 5&amp;6 Draft H Update:
@PupRiku @rattmubio @LilLyssaLynn @randyknup @thejohnlocascio… https://t.co/ytK3G1yvKT",2019-05-22 22:21:46
